Cst_Cnt,Btl_Cnt,Sta_ID,Depth_ID,Depthm,T_degC,Salnty,O2ml_L,STheta,O2Sat,Oxy_µmol/Kg,BtlNum,RecInd,T_prec,T_qual,S_prec,S_qual,P_qual,O_qual,SThtaq,O2Satq,ChlorA,Chlqua,Phaeop,Phaqua,PO4uM,PO4q,SiO3uM,SiO3qu,NO2uM,NO2q,NO3uM,NO3q,NH3uM,NH3q,C14As1,C14A1p,C14A1q,C14As2,C14A2p,C14A2q,DarkAs,DarkAp,DarkAq,MeanAs,MeanAp,MeanAq,IncTim,LightP,R_Depth,R_TEMP,R_POTEMP,R_SALINITY,R_SIGMA,R_SVA,R_DYNHT,R_O2,R_O2Sat,R_SIO3,R_PO4,R_NO3,R_NO2,R_NH4,R_CHLA,R_PHAEO,R_PRES,R_SAMP,DIC1,DIC2,TA1,TA2,pH2,pH1,DIC Quality Comment
249,7534,112.0 098.0,19-4905NS-HY-125-0500-11200980-0140A-3,140,10.62,33.53,4.48,25.701,71.2,195.0635,,3.0,2.0,,2.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,140.0,10.62,10.6,33.53,25.7,231.3,0.41,4.48,71.2,,,,,,,,141.0,,,,,,,,
677,20720,070.0 105.0,19-4909HO-HY-257-1648-07001050-1000A-7,1000,3.72,34.422,,27.362,,,,7.0,2.0,,3.0,,9.0,9.0,,9.0,,9.0,,9.0,3.28,,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,1000.0,3.72,3.65,34.422,27.36,79.4,1.45,,,,3.28,,,,,,1008.0,,,,,,,,
744,22869,101.0 034.0,19-4910CR-HY-284-0218-10100340-0030A-7,30,13.02,33.424,5.54,25.17,92.6,241.3418,,7.0,2.0,,3.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,30.0,13.02,13.02,33.424,25.17,279.5,0.09,5.54,92.6,,,,,,,,30.0,,,,,,,,
506,15319,124.0 083.0,19-4908CR-HY-218-1536-12400830-0250A-7,250,9.18,34.252,1.6,26.508,24.7,69.61076,,7.0,2.0,,3.0,,9.0,,,,,9.0,,9.0,2.45,,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,250.0,9.18,9.15,34.252,26.5,156.6,0.66,1.6,24.7,,2.45,,,,,,251.0,,,,,,,,
798,24597,070.0 095.0,19-4910HO-HY-291-2312-07000950-0700A-7,700,4.53,34.303,0.53,27.181,7.3,23.04346,,7.0,2.0,,3.0,,9.0,,,,,9.0,,9.0,3.0,,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,700.0,4.53,4.48,34.303,27.18,95.1,1.19,0.53,7.3,,3.0,,,,,,705.0,,,,,,,,
955,29480,080.0 070.0,19-5002BD-HY-041-0918-08000700-0252A-3,252,7.5,34.11,1.53,26.651,22.7,66.55602,,3.0,2.0,,2.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,252.0,7.5,7.48,34.11,26.65,142.2,0.52,1.53,22.7,,,,,,,,254.0,,,,,,,,
577,17514,082.0 067.0,19-4908HO-HY-233-2342-08200670-0075A-7,75,9.82,33.439,4.28,25.765,66.8,186.3437,,7.0,2.0,,3.0,,9.0,,,,,9.0,,9.0,1.44,,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,75.0,9.82,9.81,33.439,25.76,223.6,0.21,4.28,66.8,,1.44,,,,,,75.0,,,,,,,,
532,16125,103.3 119.0,19-4908CR-HY-225-1448-10331190-0143A-3,143,12.54,33.69,4.92,25.473,81.5,214.2691,,3.0,2.0,,2.0,,9.0,,,,,9.0,,9.0,0.95,,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,143.0,12.54,12.52,33.69,25.47,253.6,0.47,4.92,81.5,,0.95,,,,,,144.0,,,,,,,,
163,4948,092.0 117.0,19-4904NS-HY-102-0048-09201170-0600A-7,600,5.24,34.346,0.52,27.135,7.3,22.60969,,7.0,2.0,,3.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,600.0,5.24,5.19,34.346,27.13,99.5,1.06,0.52,7.3,,,,,,,,604.0,,,,,,,,
296,8922,061.0 087.0,19-4906CR-HY-155-1518-06100870-1100A-7,1100,3.47,34.424,0.58,27.389,7.8,25.21226,,7.0,2.0,,3.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,1100.0,3.47,3.39,34.424,27.38,77.1,1.4,0.58,7.8,,,,,,,,1110.0,,,,,,,,
455,13751,081.0 117.0,19-4907HO-HY-193-0836-08101170-0125A-7,125,11.86,33.325,5.33,25.318,86.9,232.16,,7.0,2.0,,3.0,,9.0,,,,,9.0,,9.0,0.89,,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,125.0,11.86,11.84,33.325,25.31,267.6,0.4,5.33,86.9,,0.89,,,,,,126.0,,,,,,,,
285,8594,081.0 117.0,19-4906CR-HY-150-1012-08101170-0400A-7,400,6.01,34.176,1.08,26.905,15.5,46.9691,,7.0,2.0,,3.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,400.0,6.01,5.98,34.176,26.9,119.4,0.8,1.08,15.5,,,,,,,,403.0,,,,,,,,
501,15155,020.0 010.0,19-4908BD-HY-228-0630-02000100-0110A-3,110,7.79,33.44,4.07,26.081,60.7,177.1461,,3.0,2.0,,2.0,,9.0,,,,,9.0,,9.0,2.14,,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,110.0,7.79,7.78,33.44,26.08,193.8,0.32,4.07,60.7,,2.14,,,,,,111.0,,,,,,,,
40,1208,103.3 119.0,19-4903NS-HY-063-1924-10331190-0150A-7,150,13.19,33.615,,25.287,,,,7.0,2.0,,3.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,150.0,13.19,13.17,33.615,25.28,271.6,0.44,,,,,,,,,,151.0,,,,,,,,
64,1951,125.0 102.0,19-4903NS-HY-070-1730-12501020-0099A-3,99,15.66,33.75,,24.867,,,,3.0,2.0,,2.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,99.0,15.66,15.64,33.75,24.86,310.6,0.3,,,,,,,,,,99.0,,,,,,,,
261,7888,102.0 084.0,19-4905NS-HY-130-0406-10200840-0250A-7,250,8.64,33.923,3.11,26.336,47.4,135.3286,,7.0,2.0,,3.0,,9.0,,,,,9.0,,9.0,1.94,,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,250.0,8.64,8.61,33.923,26.33,172.7,0.66,3.11,47.4,,1.94,,,,,,251.0,,,,,,,,
940,29036,071.0 085.7,19-5001HO-HY-008-0200-07100857-0050A-7,50,13.9,33.04,5.92,24.696,100.5,258.0153,,7.0,2.0,,3.0,,9.0,,,,,9.0,,9.0,0.47,,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,50.0,13.9,13.89,33.04,24.69,325.2,0.16,5.92,100.5,,0.47,,,,,,50.0,,,,,,,,
415,12523,101.0 034.0,19-4907CR-HY-188-0642-10100340-0500A-7,500,6.79,34.332,0.51,26.928,7.5,22.17935,,7.0,2.0,,3.0,,9.0,,,,,9.0,,9.0,3.07,,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,500.0,6.79,6.74,34.332,26.92,119.6,0.87,0.51,7.5,,3.07,,,,,,503.0,,,,,,,,
392,11828,018.0 018.0,19-4907BD-HY-197-0500-01800180-0900A-7,900,3.76,34.31,0.45,27.268,6.1,19.56354,,7.0,2.0,,3.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,900.0,3.76,3.69,34.31,27.26,87.4,1.3,0.45,6.1,,,,,,,,908.0,,,,,,,,
874,26930,053.3 066.0,19-4911HO-HY-313-0706-05330660-0250A-7,250,6.88,34.029,1.33,26.674,19.5,57.85459,,7.0,2.0,,3.0,,9.0,,,,,9.0,,9.0,2.91,,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,250.0,6.88,6.86,34.029,26.67,139.7,0.46,1.33,19.5,,2.91,,,,,,252.0,,,,,,,,
822,25344,035.0 037.0,19-4911BD-HY-327-1054-03500370-0900A-7,900,3.94,34.367,0.46,27.296,6.3,19.99774,,7.0,2.0,,3.0,,9.0,,,,,9.0,,9.0,3.24,,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,900.0,3.94,3.87,34.367,27.29,85.2,1.23,0.46,6.3,,3.24,,,,,,908.0,,,,,,,,
479,14495,033.3 055.0,19-4908BD-HY-221-0248-03330550-0100A-7,100,7.6,32.966,5.65,25.736,83.6,245.998,,7.0,2.0,,3.0,,9.0,,,,,9.0,,9.0,1.62,,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,100.0,7.6,7.59,32.966,25.73,226.4,0.32,5.65,83.6,,1.62,,,,,,101.0,,,,,,,,
787,24211,081.0 097.0,19-4910HO-HY-288-1448-08100970-0049A-3,49,,33.58,5.47,,,,,3.0,,9.0,2.0,,9.0,,9.0,9.0,,9.0,,9.0,0.4,,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,49.0,,,33.58,,,0.18,5.47,97.7,,0.4,,,,,,49.0,,,,,,,,
970,29950,061.0 055.0,19-5002BD-HY-047-0200-06100550-0250A-7,250,7.38,34.107,1.59,26.666,23.6,69.16505,,7.0,2.0,,3.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,250.0,7.38,7.36,34.107,26.66,140.7,0.47,1.59,23.6,,,,,,,,252.0,,,,,,,,
802,24717,042.0 068.0,19-4911BD-HY-317-0630-04200680-0923A-3,923,3.68,34.43,0.54,27.372,7.3,23.47387,,3.0,2.0,,2.0,,9.0,,,,,9.0,,9.0,3.57,,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,923.0,3.68,3.61,34.43,27.37,77.7,1.31,0.54,7.3,,3.57,,,,,,931.0,,,,,,,,
527,15959,102.0 074.0,19-4908CR-HY-224-1054-10200740-0050A-7,50,16.4,33.665,5.77,24.632,103.4,251.4934,,7.0,2.0,,3.0,,9.0,,,,,9.0,,9.0,0.34,,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,50.0,16.4,16.39,33.665,24.63,331.4,0.18,5.77,103.4,,0.34,,,,,,50.0,,,,,,,,
130,3964,122.0 053.0,19-4904NS-HY-092-0800-12200530-0250A-7,250,9.77,34.517,0.69,26.619,10.8,30.01639,,7.0,2.0,,3.0,,9.0,,,,,9.0,,9.0,2.55,,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,250.0,9.77,9.74,34.517,26.61,146.5,0.56,0.69,10.8,,2.55,,,,,,251.0,,,,,,,,
609,18515,122.0 044.0,19-4909CR-HY-248-1000-12200440-0400A-7,400,7.96,34.386,0.63,26.804,9.5,27.40133,,7.0,2.0,,3.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,400.0,7.96,7.92,34.386,26.8,130.8,0.8,0.63,9.5,,,,,,,,402.0,,,,,,,,
571,17349,080.0 137.0,19-4908HO-HY-232-0430-08001370-0800A-7,800,4.56,34.423,0.54,27.274,7.5,23.47611,,7.0,2.0,,3.0,,9.0,,,,,9.0,,9.0,3.06,,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,800.0,4.56,4.5,34.423,27.27,87.6,1.32,0.54,7.5,,3.06,,,,,,806.0,,,,,,,,
700,21463,026.0 102.0,19-4910BD-HY-282-1630-02601020-0250A-7,250,6.71,33.857,3.83,26.561,55.8,166.6221,,7.0,2.0,,3.0,,9.0,,,,,9.0,,9.0,1.91,,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,250.0,6.71,6.69,33.857,26.56,150.2,0.62,3.83,55.8,,1.91,,,,,,252.0,,,,,,,,
26,765,082.0 077.0,19-4903HO-HY-074-1606-08200770-0021A-3,21,12.54,33.13,,25.035,,,,3.0,2.0,,2.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,21.0,12.54,12.54,33.13,25.03,292.0,0.06,,,,,,,,,,21.0,,,,,,,,
33,1003,092.0 088.0,19-4903NS-HY-061-0906-09200880-0800A-7,800,4.53,34.444,,27.294,,,,7.0,2.0,,3.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,800.0,4.53,4.47,34.444,27.29,85.6,1.23,,,,,,,,,,806.0,,,,,,,,
725,22240,123.3 063.0,19-4910CR-HY-279-0118-12330630-0023A-3,23,20.28,33.77,5.02,23.753,97.0,218.9915,,3.0,2.0,,2.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,23.0,20.28,20.28,33.77,23.75,414.5,0.09,5.02,97.0,,,,,,,,23.0,,,,,,,,
713,21871,021.0 069.0,19-4910BD-HY-286-2212-02100690-0009A-3,9,15.42,32.74,5.67,24.14,99.1,247.2535,,3.0,2.0,,2.0,,9.0,,,,,9.0,,9.0,0.48,,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,15.42,15.42,32.74,24.14,377.0,0.03,5.67,99.1,,0.48,,,,,,9.0,,,,,,,,
201,6067,053.3 066.0,19-4905CR-HY-134-0206-05330660-0200A-3,200,7.89,33.87,2.97,26.406,44.5,129.2278,,3.0,2.0,,2.0,,9.0,,,,,9.0,,9.0,2.28,,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,200.0,7.89,7.87,33.87,26.4,164.7,0.47,2.97,44.5,,2.28,,,,,,201.0,,,,,,,,
108,3317,058.0 127.0,19-4904HO-HY-096-0648-05801270-1100A-7,1100,3.65,34.479,0.55,27.415,7.5,23.90757,,7.0,2.0,,3.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,1100.0,3.65,3.57,34.479,27.41,75.1,1.51,0.55,7.5,,,,,,,,1110.0,,,,,,,,
354,10700,123.3 063.0,19-4906HO-HY-158-1842-12330630-0135A-3,135,11.23,33.49,4.24,25.562,68.2,184.6387,,3.0,2.0,,2.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,135.0,11.23,11.21,33.49,25.56,244.5,0.42,4.24,68.2,,,,,,,,136.0,,,,,,,,
653,19948,053.3 066.0,19-4909HO-HY-249-0854-05330660-0900A-7,900,4.05,34.456,0.56,27.355,7.7,24.34368,,7.0,2.0,,3.0,,9.0,,,,,9.0,,9.0,3.04,,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,900.0,4.05,3.98,34.456,27.35,79.9,1.17,0.56,7.7,,3.04,,,,,,908.0,,,,,,,,
50,1518,111.0 038.0,19-4903NS-HY-066-1718-11100380-0500A-7,500,7.2,34.342,,26.88,,,,7.0,2.0,,3.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,500.0,7.2,7.15,34.342,26.88,124.6,0.94,,,,,,,,,,503.0,,,,,,,,
533,16192,103.3 128.0,19-4908CR-HY-225-1924-10331280-3262A-3,3262,1.55,34.67,2.93,27.76,37.6,127.3194,,3.0,2.0,,2.0,,9.0,,,,,9.0,,9.0,2.68,,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,3262.0,1.55,1.3,34.67,27.76,45.1,2.73,2.93,37.6,,2.68,,,,,,3307.0,,,,,,,,
796,24519,070.0 115.0,19-4910HO-HY-291-0818-07001150-0150A-7,150,9.2,33.675,3.78,26.052,58.3,164.5285,,7.0,2.0,,3.0,,9.0,,,,,9.0,,9.0,1.67,,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,150.0,9.2,9.18,33.675,26.05,197.8,0.46,3.78,58.3,,1.67,,,,,,151.0,,,,,,,,
902,27796,080.0 137.0,19-4911HO-HY-323-0924-08001370-0627A-3,627,5.09,34.23,0.5,27.06,7.0,21.74167,,3.0,2.0,,2.0,,9.0,,,,,9.0,,9.0,3.2,,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,627.0,5.09,5.04,34.23,27.06,106.5,1.22,0.5,7.0,,3.2,,,,,,631.0,,,,,,,,
728,22347,124.0 093.0,19-4910CR-HY-279-1706-12400930-0289A-3,289,9.18,34.36,3.16,26.594,48.9,137.4697,,3.0,2.0,,2.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,289.0,9.18,9.15,34.36,26.59,149.4,0.75,3.16,48.9,,,,,,,,290.0,,,,,,,,
373,11263,033.3 055.0,19-4907BD-HY-189-1936-03330550-0300A-7,300,6.21,33.992,,26.733,,,,7.0,2.0,,3.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,300.0,6.21,6.18,33.992,26.73,134.4,0.65,,,,,,,,,,302.0,,,,,,,,
747,22970,102.0 064.0,19-4910CR-HY-284-1806-10200640-0250A-7,250,7.83,34.05,3.2,26.557,47.9,139.2149,,7.0,2.0,,3.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,250.0,7.83,7.81,34.05,26.55,151.3,0.62,3.2,47.9,,,,,,,,251.0,,,,,,,,
82,2512,030.0 074.0,19-4904CR-HY-095-0406-03000740-0250A-7,250,6.54,33.846,2.96,26.575,43.0,128.7715,,7.0,2.0,,3.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,250.0,6.54,6.52,33.846,26.57,148.8,0.53,2.96,43.0,,,,,,,,252.0,,,,,,,,
846,26081,111.0 068.0,19-4911CR-HY-317-0806-11100680-0400A-7,400,7.69,34.267,0.64,26.75,9.6,27.83774,,7.0,2.0,,3.0,,9.0,,,,,9.0,,9.0,2.77,,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,400.0,7.69,7.65,34.267,26.75,135.6,0.89,0.64,9.6,,2.77,,,,,,402.0,,,,,,,,
848,26147,111.0 048.0,19-4911CR-HY-317-1824-11100480-0618A-3,618,5.53,34.4,0.28,27.143,4.0,12.17435,,3.0,2.0,,2.0,,9.0,,,,,9.0,,9.0,3.06,,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,618.0,5.53,5.48,34.4,27.14,99.4,1.02,0.28,4.0,,3.06,,,,,,622.0,,,,,,,,
996,30764,090.0 037.0,19-5002CR-HY-038-1624-09000370-0075A-7,75,10.99,33.507,3.96,25.617,63.4,172.4363,,7.0,2.0,,3.0,,9.0,,,,,9.0,,9.0,1.42,,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,75.0,10.99,10.98,33.507,25.61,237.9,0.19,3.96,63.4,,1.42,,,,,,75.0,,,,,,,,
476,14399,029.0 083.0,19-4908BD-HY-220-0718-02900830-0025A-3,25,16.6,32.75,5.74,23.883,102.7,250.3688,,3.0,2.0,,2.0,,9.0,,,,,9.0,,9.0,0.58,,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,25.0,16.6,16.6,32.75,23.88,402.0,0.1,5.74,102.7,,0.58,,,,,,25.0,,,,,,,,
348,10507,126.0 122.0,19-4906HO-HY-157-0824-12601220-0071A-3,71,15.82,33.75,5.3,24.83,94.0,230.9632,,3.0,2.0,,2.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,71.0,15.82,15.81,33.75,24.83,313.2,0.24,5.3,94.0,,,,,,,,71.0,,,,,,,,
752,23133,103.3 111.0,19-4910CR-HY-285-2006-10331110-0900A-7,900,4.22,34.492,,27.366,,,,7.0,2.0,,3.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,900.0,4.22,4.15,34.492,27.36,79.3,1.43,,,,,,,,,,907.0,,,,,,,,
1085,33486,050.0 090.0,19-5003BD-HY-069-0730-05000900-0600A-7,600,4.76,34.24,,27.105,,,,7.0,2.0,,3.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,600.0,4.76,4.71,34.24,27.1,101.5,0.99,,,,,,,,,,605.0,,,,,,,,
335,10130,101.0 034.0,19-4906HO-HY-153-1800-10100340-0400A-7,400,6.79,34.276,0.91,26.882,13.3,39.5767,,7.0,2.0,,3.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,400.0,6.79,6.75,34.276,26.88,122.3,0.66,0.91,13.3,,,,,,,,403.0,,,,,,,,
